NAME,IAU_ID,ALT_NAME,RA,DEC,PSG_TYPE_1,PSG_TYPE_2,CATEGORY_1,CATEGORY_2,MORPHTYPE,EGIS,EGIPS,REFERENCE,LINKS,PGC,RA_LEDA,DEC_LEDA,MORPHTYPE_LEDA,D25_LEDA,REDSHIFT_LEDA,NED_NAME,REDSHIFT_NED,J_MAG_NED,H_MAG_NED,Ks_MAG_NED,SGA_ID,RA_SGA,DEC_SGA,G_MAG_SB26_SGA,G_MAG_SB26_ERR_SGA,R_MAG_SB26_SGA,R_MAG_SB26_ERR_SGA,Z_MAG_SB26_SGA,Z_MAG_SB26_ERR_SGA,D26_SGA,D26_REF,PHDEP_G,PHDEP_R,PHDEP_I,PHDEP_Z,PHDEP_GR,PHDEP_ALL,G_MAG_ASYM_IRAF,G_MAG_ASYM_ERR_IRAF,G_MAG_SB26_IRAF,R26_G_IRAF,R26_G_ERR_IRAF,G_MAG_OUTER_IRAF,R_G_IRAF,R_MAG_ASYM_IRAF,R_MAG_ASYM_ERR_IRAF,R_MAG_SB26_IRAF,R26_R_IRAF,R26_R_ERR_IRAF,R_MAG_OUTER_IRAF,R_R_IRAF,I_MAG_ASYM_IRAF,I_MAG_ASYM_ERR_IRAF,I_MAG_SB26_IRAF,R26_I_IRAF,R26_I_ERR_IRAF,I_MAG_OUTER_IRAF,R_I_IRAF,Z_MAG_ASYM_IRAF,Z_MAG_ASYM_ERR_IRAF,Z_MAG_SB26_IRAF,R26_Z_IRAF,R26_Z_ERR_IRAF,Z_MAG_OUTER_IRAF,R_Z_IRAF,PA_SB26_GR,SMA_SB26_GR,SMB_SB26_GR,G_MAG_SB26_GR,R_MAG_SB26_GR,I_MAG_SB26_GR,Z_MAG_SB26_GR,W1_MAG_IRSA,W1_MAG_ERR_IRSA,W2_MAG_IRSA,W2_MAG_ERR_IRSA,W3_MAG_IRSA,W3_MAG_ERR_IRSA,W4_MAG_IRSA,W4_MAG_ERR_IRSA,A_G,A_R,A_I,A_Z,A_J,A_H,A_Ks,SDSS_SPEC_REDSHIFT,DR10_SPEC_REDSHIFT,DR10_PHOT_REDSHIFT,DR10_PHOT_REDSHIFT_I,DR9_PHOT_REDSHIFT,REDSHIFT,REDSHIFT_SOURCE,DA,SCALE,DL,KCOR_G,KCOR_R,KCOR_I,KCOR_Z,KCOR_J,KCOR_H,KCOR_Ks,KCOR_W1,KCOR_W2,KCOR_W3,KCOR_W4,M_G,M_R,M_I,M_Z,M_J,M_H,M_Ks,M_W1,M_W2,M_W3,M_W4,PHYS_SMA_SB26,LOGMSTAR_WISE,LOGSFR_WISE
,,,deg,deg,,,,,,,,,,,deg,deg,,arcmin,,,,mag,mag,mag,,deg,deg,mag,mag,mag,mag,mag,mag,arcmin,,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag,mag,mag,arcmin,arcmin,mag,arcmin,mag,mag,mag,arcmin,arcmin,mag,arcmin,mag,mag,mag,arcmin,arcmin,mag,arcmin,mag,mag,mag,arcmin,arcmin,mag,arcmin,deg,arcmin,arcmin,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,,,,,,,,Mpc,kpc/arcsec,Mpc,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,kpc,dex (log10 Msun),dex (log10 Msun/yr)
PGC095507,J011227.34+154500.2,PGC095507,18.1139371,15.7500419,PTS,,Polar_Tilted Tidal Structures,,S0-a,,,,,95507,18.1139610,15.7500119,E,0.8610,0.037866,IC 1645,0.037813,11.956,11.296,10.973,1193948,18.1139660,15.7500417,14.765,0.007,13.884,0.009,13.187,0.007,1.3326,SB26,29.135,28.435,,27.587,29.037,28.635,14.649,0.025,14.756,0.6133,0.0589,14.649,1.7059,13.7960,0.0220,13.8320,0.8455,0.0801,13.7820,1.7059,,,,,,,,13.109,0.023,13.125,0.9591,0.0987,13.102,1.7059,73.64,0.6991,0.5908,14.720,13.850,,13.155,11.245,0.022,11.227,0.02,8.573,0.025,7.084,0.108,0.212,0.139,0.101,0.076,0.046,0.029,0.020,0.037857,0.037857,0.036468,,0.033454,0.037857,SDSS_SPEC_REDSHIFT,160.78,0.779,173.19,0.077,0.038,,0.015,-0.028,-0.030,-0.066,0.000,0.000,0.000,0.000,-21.726,-22.538,,-23.159,-24.255,-24.896,-25.174,-24.948,-24.966,-27.620,-29.109,39.52,10.933,0.402
PGC1081477,J011230.14-025052.1,PGC1081477,18.1255796,-2.8477947,PR,PTS,Polar_Tilted Rings,Polar_Tilted Tidal Structures,S,,,Moiseev et al. (2011),https://ui.adsabs.harvard.edu/#abs/2011MNRAS.418..244M/abstract,1081477,18.1255620,-2.8478056,Sab,0.6607,0.064184,,,,,,1147256,18.1255909,-2.8478104,15.529,0.005,14.597,0.007,13.920,0.008,1.1696,SB26,29.504,29.081,28.469,27.991,29.619,29.226,15.451,0.018,15.542,0.4717,0.0062,15.416,1.3871,14.5220,0.0120,14.5780,0.6107,0.0262,14.4980,1.3871,14.124,0.016,14.161,0.6924,0.0299,14.106,1.3871,13.855,0.018,13.876,0.7931,0.0673,13.838,1.3871,92.54,0.5565,0.3427,15.513,14.589,14.189,13.918,11.967,0.023,11.955,0.022,10.441,0.08,9.049,,0.174,0.114,0.083,0.062,0.038,0.024,0.016,,,0.077387,0.079266,0.077672,0.064184,REDSHIFT_LEDA,264.15,1.281,299.15,0.152,0.060,0.040,0.017,,,,0.000,0.000,0.000,0.000,-22.163,-22.975,-23.341,-23.582,,,,-25.412,-25.424,-26.938,-28.330,46.94,11.121,0.117
2MASXJ01124687-0038471,J011246.84-003847.5,2MASXJ01124687-0038471,18.1951869,-0.6465225,PTS,,Polar_Tilted Tidal Structures,,S0-a,,,Mosenkov et al. (2024),https://ui.adsabs.harvard.edu/#abs/2024A%26A...681L..15M/abstract,,18.1953300,-0.6466800,,,0.110133,2MASX J01124687-0038471,0.110133,14.774,13.868,13.45,,,,,,,,,,,,29.775,29.033,28.451,27.852,29.661,29.130,18.229,0.033,18.374,0.1818,0.0092,18.213,0.4786,17.2160,0.0240,17.2970,0.2058,0.0236,17.2070,0.4786,16.723,0.025,16.774,0.2107,0.0172,16.715,0.4786,16.381,0.042,16.386,0.3343,0.0386,16.372,0.4786,51.37,0.1962,0.1153,18.321,17.291,16.785,16.443,13.978,0.051,13.613,0.059,10.157,0.091,7.706,,0.080,0.053,0.038,0.029,0.018,0.011,0.008,0.110133,0.110133,0.133800,0.128280,0.134552,0.110133,SDSS_SPEC_REDSHIFT,429.58,2.083,529.41,0.296,0.103,0.063,0.029,-0.027,0.026,-0.179,0.000,0.000,0.000,0.000,-20.621,-21.478,-21.946,-22.291,-23.836,-24.788,-24.998,-24.641,-25.006,-28.462,-30.913,25.72,10.693,1.062
PGC812670,J011248.32-223216.5,PGC812670,18.2013488,-22.5379129,PTS,,Polar_Tilted Tidal Structures,,E,,,,,812670,18.2013330,-22.5378792,,0.3890,0.125509,,,,,,704507,18.2013465,-22.5379144,17.083,0.017,16.077,0.018,15.396,0.022,0.6844,SB26,29.378,29.036,28.412,27.676,29.539,29.006,16.893,0.051,17.115,0.2926,0.0190,16.899,1.0021,15.9300,0.0280,16.0240,0.4664,0.0120,15.9310,1.0021,15.529,0.035,15.591,0.4834,0.0306,15.533,1.0021,15.250,0.054,15.313,0.5021,0.0529,15.257,1.0021,171.75,0.4057,0.1940,17.018,16.032,15.624,15.354,13.183,0.024,13.057,0.029,12.184,0.346,9.204,,0.063,0.041,0.030,0.023,0.014,0.009,0.006,,,0.122907,0.121968,0.121345,0.125509,REDSHIFT_LEDA,481.00,2.332,609.31,0.309,0.103,0.044,0.019,,,,0.000,0.000,0.000,0.000,-22.181,-23.044,-23.407,-23.653,,,,-25.741,-25.867,-26.740,-29.720,65.26,11.214,0.626
PGC004361,J011248.56-581656.6,PGC004361,18.2023321,-58.2823985,PTS,,Polar_Tilted Tidal Structures,,S,,,,,4361,18.2020410,-58.2822222,Sbc,,,NGC 0440,0.017159,11.181,10.471,10.134,,18.2019600,-58.2822600,,,,,,,,,29.455,29.074,28.224,27.655,29.602,28.941,13.360,0.007,13.396,0.7027,0.1237,13.361,2.2926,12.7750,0.0060,12.7910,1.0028,0.1156,12.7760,2.2926,12.570,0.009,12.587,0.8863,0.0842,12.573,2.2926,12.354,0.011,12.352,1.6602,0.1933,12.357,2.2926,108.53,0.9192,0.5618,13.382,12.794,12.588,12.369,10.216,0.022,9.613,0.02,5.409,0.014,2.976,0.02,0.073,0.048,0.035,0.026,0.016,0.010,0.007,,,0.013661,0.015109,0.015942,0.017159,REDSHIFT_NED,74.73,0.362,77.32,0.020,0.019,0.005,0.006,-0.013,-0.017,-0.027,0.000,0.000,0.000,0.000,-21.138,-21.717,-21.894,-22.121,-23.263,-23.963,-24.287,-24.225,-24.828,-29.032,-31.465,21.78,10.446,1.265
PGC899761,J011250.17-161844.6,PGC899761,18.2090345,-16.3123812,PH,PDL,Polar_Tilted Halos,Polar_Tilted Dust Lanes,S0,,,,,899761,18.2091315,-16.3123744,,0.4365,0.038208,,,,,,513009,18.2090337,-16.3123895,16.003,0.009,15.180,0.010,14.580,0.013,0.7427,SB26,29.319,29.020,28.388,27.793,29.524,29.063,15.895,0.028,16.005,0.3476,0.0177,15.873,0.9170,15.0950,0.0200,15.1380,0.4433,0.0084,15.0560,0.9170,14.734,0.026,14.771,0.4642,0.0214,14.715,0.9170,14.518,0.033,14.531,0.4854,0.0299,14.491,0.9170,67.74,0.3772,0.3304,15.965,15.147,14.791,14.554,12.938,0.038,12.967,0.044,12.053,0.429,7.796,,0.091,0.060,0.043,0.033,0.020,0.012,0.009,,,0.039135,0.040693,0.040143,0.038208,REDSHIFT_LEDA,162.20,0.786,174.84,0.078,0.038,0.029,0.014,,,,0.000,0.000,0.000,0.000,-20.377,-21.173,-21.514,-21.729,,,,-23.275,-23.246,-24.160,-28.417,20.91,10.280,0.149
PGC1488822,J011253.90+153608.9,PGC1488822,18.2245646,15.6024683,PTS,,Polar_Tilted Tidal Structures,,S0,,,,,1488822,18.2245425,15.6023837,S0-a,0.5224,0.040984,,,,,,1270711,18.2245730,15.6024710,15.769,0.012,14.847,0.013,14.139,0.013,0.9319,SB26,28.937,28.236,,27.345,28.852,28.411,15.713,0.034,15.805,0.3446,0.0264,15.692,0.9729,14.7980,0.0270,14.8560,0.4272,0.0268,14.7950,0.9729,,,,,,,,14.091,0.031,14.114,0.5664,0.0720,14.088,0.9729,152.74,0.3931,0.3038,15.763,14.848,,14.139,12.256,0.03,12.323,0.033,11.451,0.221,8.378,,0.239,0.157,0.114,0.086,0.052,0.032,0.022,0.040982,0.040982,0.035896,,0.036878,0.040982,SDSS_SPEC_REDSHIFT,173.40,0.841,187.91,0.086,0.040,,0.016,,,,0.000,0.000,0.000,0.000,-20.890,-21.711,,-22.358,,,,-24.114,-24.047,-24.919,-27.992,21.56,10.628,-0.007
PGC1192824,J011313.50+012214.3,PGC1192824,18.3062413,1.3706485,PTS,,Polar_Tilted Tidal Structures,,S,,,,,1192824,18.3063645,1.3707156,E?,0.3467,0.044615,,,,,,825109,18.3062683,1.3706302,17.421,0.007,16.568,0.007,15.859,0.008,0.5105,SB26,29.492,29.109,28.312,27.822,29.637,29.085,17.150,0.042,17.317,0.2342,0.0143,17.145,0.6244,16.3510,0.0290,16.4270,0.3024,0.0137,16.3530,0.6244,15.978,0.040,16.035,0.3243,0.0169,15.978,0.6244,15.695,0.046,15.738,0.2929,0.0460,15.698,0.6244,176.81,0.2548,0.2118,17.247,16.436,16.053,15.760,13.226,0.032,12.993,0.038,9.091,0.048,7.704,0.28,0.111,0.073,0.053,0.040,0.024,0.015,0.010,0.044614,0.044614,0.096212,0.096854,0.103538,0.044614,SDSS_SPEC_REDSHIFT,187.95,0.911,205.09,0.093,0.043,0.031,0.015,,,,0.000,0.000,0.000,0.000,-19.447,-20.249,-20.609,-20.877,,,,-23.334,-23.567,-27.469,-28.856,16.53,10.215,0.309
SDSSJ011405.69-005647.0,J011405.70-005647.0,SDSSJ011405.69-005647.0,18.5237434,-0.9463987,PR,,Polar_Tilted Rings,,S,,,Mosenkov et al. (2024),https://ui.adsabs.harvard.edu/#abs/2024A%26A...681L..15M/abstract,,18.5237300,-0.9465200,,,0.033564,WISEA J011405.69-005647.4,0.033564,,,,,,,,,,,,,,,29.626,28.988,28.432,27.887,29.593,29.143,17.392,0.019,17.448,0.1440,0.0090,17.383,0.4128,16.7440,0.0170,16.7860,0.1733,0.0164,16.7350,0.4128,16.457,0.025,16.502,0.1985,0.0117,16.451,0.4128,16.266,0.034,16.300,0.1973,0.0218,16.256,0.4128,172.71,0.1656,0.1453,17.396,16.752,16.478,16.283,14.062,0.029,13.808,0.038,10.235,0.075,8.442,0.3,0.147,0.097,0.070,0.053,0.032,0.020,0.014,0.033564,0.033564,0.035472,0.039092,0.036659,0.033564,SDSS_SPEC_REDSHIFT,143.29,0.695,153.07,0.049,0.032,0.008,0.007,,,,0.000,0.000,0.000,0.000,-18.672,-19.267,-19.500,-19.684,,,,-21.862,-22.116,-25.689,-27.482,7.23,9.619,-0.193
PGC947978,J011406.62-124538.6,PGC947978,18.5275848,-12.7607341,PTS,,Polar_Tilted Tidal Structures,,S,,,,,947978,18.5275080,-12.7606458,,0.5129,0.041331,WISEA J011406.61-124538.5,0.041329,12.638,11.909,11.811,45541,18.5275920,-12.7607396,15.427,0.006,14.581,0.006,13.962,0.006,0.9601,SB26,28.894,28.730,28.075,27.485,29.174,28.744,15.336,0.036,15.425,0.4295,0.0528,15.335,1.1617,14.5070,0.0210,14.5530,0.4992,0.0105,14.4960,1.1617,14.143,0.025,14.178,0.5560,0.0330,14.133,1.1617,13.887,0.032,13.919,0.5998,0.0644,13.885,1.1617,90.81,0.4732,0.3938,15.404,14.560,14.195,13.942,12.028,0.022,12.088,0.022,10.584,0.07,8.546,,0.068,0.045,0.033,0.024,0.015,0.009,0.006,,,0.043314,0.042495,0.043032,0.041329,REDSHIFT_NED,174.80,0.847,189.54,0.087,0.041,0.033,0.015,-0.026,-0.023,-0.115,0.000,0.000,0.000,0.000,-21.119,-21.922,-22.277,-22.509,-23.740,-24.466,-24.469,-24.361,-24.301,-25.805,-27.843,25.37,10.725,-0.061
PGC108876,J011435.90-443631.0,PGC108876,18.6495817,-44.6085997,PR,,Polar_Tilted Rings,,S,,,,,108876,18.6495000,-44.6085417,,0.4732,0.030931,LCRS B011222.8-445223,0.031115,13.796,13.152,12.946,1068993,18.6495724,-44.6086061,16.519,0.007,15.656,0.008,15.037,0.009,0.7005,SB26,29.312,29.053,28.200,27.459,29.533,28.801,16.391,0.027,16.479,0.2875,0.0019,16.376,0.7680,15.5450,0.0180,15.6010,0.3218,0.0014,15.5290,0.7680,15.158,0.023,15.208,0.3356,0.0239,15.145,0.7680,14.903,0.041,14.953,0.3421,0.0658,14.897,0.7680,170.01,0.3077,0.2713,16.447,15.600,15.215,14.963,13.199,0.024,13.204,0.027,11.643,0.2,8.432,,0.038,0.025,0.018,0.014,0.008,0.005,0.004,,,0.064346,0.071319,0.057720,0.031115,REDSHIFT_NED,133.23,0.646,141.65,0.059,0.031,0.030,0.014,-0.024,-0.028,-0.074,0.000,0.000,0.000,0.000,-19.374,-20.211,-20.596,-20.831,-21.944,-22.581,-22.740,-22.557,-22.552,-24.113,-27.324,12.47,9.984,-0.251
PGC1582169,J011442.79+190855.0,PGC1582169,18.6783086,19.1486079,PTS,,Polar_Tilted Tidal Structures,,S,,,,,1582169,18.6782085,19.1485556,,0.5248,,,,,,,970673,18.6783086,19.1486079,16.467,0.009,15.475,0.008,14.691,0.008,0.8541,SB26,29.120,28.569,,27.489,29.136,28.585,16.261,0.039,16.402,0.3128,0.0399,16.257,0.9170,15.3120,0.0260,15.3660,0.4029,0.0257,15.2900,0.9170,,,,,,,,14.546,0.034,14.586,0.4341,0.0805,14.547,0.9170,144.73,0.3756,0.3145,16.345,15.372,,14.606,12.271,0.023,12.086,0.024,9.376,0.038,7.776,0.195,0.172,0.113,0.082,0.062,0.038,0.023,0.016,,,0.046328,,0.043573,0.046328,DR10_PHOT_REDSHIFT,194.77,0.944,213.23,0.100,0.044,,0.018,,,,0.000,0.000,0.000,0.000,-20.514,-21.435,,-22.138,,,,-24.373,-24.558,-27.268,-28.868,22.82,10.646,0.314
PGC004490,J011448.68-002946.0,PGC004490,18.7028256,-0.4961235,PTS,,Polar_Tilted Tidal Structures,,S,,,,,4490,18.7024455,-0.4961660,E?,0.7745,0.033845,UGC 00793,0.033913,,,,561937,18.7028320,-0.4960528,14.467,0.006,13.824,0.009,13.349,0.010,1.0669,SB26,29.760,29.050,28.398,27.864,29.659,29.132,14.384,0.007,14.416,0.4550,0.0027,14.381,1.1278,13.7720,0.0070,13.7920,0.4953,0.0064,13.7690,1.1278,13.528,0.008,13.545,0.5016,0.0170,13.526,1.1278,13.309,0.011,13.327,0.5060,0.0557,13.306,1.1278,178.01,0.4558,0.4035,14.365,13.752,13.508,13.293,11.323,0.024,10.959,0.022,6.907,0.015,4.806,0.03,0.101,0.066,0.048,0.036,0.022,0.014,0.009,0.034273,,0.025612,0.026452,0.024519,0.034273,SDSS_SPEC_REDSHIFT,146.19,0.709,156.38,0.047,0.033,0.004,0.007,,,,0.000,0.000,0.000,0.000,-21.703,-22.278,-22.478,-22.687,,,,-24.648,-25.012,-29.064,-31.165,21.07,10.696,1.155
PGC1222113,J011511.77+021723.8,PGC1222113,18.7990302,2.2899317,PDL,,Polar_Tilted Dust Lanes,,E,,,,,1222113,18.7990005,2.2897222,,0.8913,0.045822,,,,,,940056,18.7990272,2.2899268,15.064,0.011,14.135,0.013,13.434,0.016,1.5570,SB26,29.510,29.047,28.302,27.830,29.597,29.077,14.922,0.025,15.061,0.6469,0.0070,14.897,1.8641,14.0110,0.0180,14.0710,0.8374,0.0075,13.9720,1.8641,13.595,0.025,13.633,0.9563,0.0467,13.569,1.8641,13.334,0.028,13.351,1.0227,0.0569,13.308,1.8641,2.89,0.7493,0.5807,14.998,14.078,13.663,13.386,11.772,0.024,11.777,0.021,10.379,0.077,8.401,,0.139,0.091,0.066,0.050,0.031,0.019,0.013,,,0.036028,0.035987,0.038387,0.045822,REDSHIFT_LEDA,192.76,0.935,210.83,0.100,0.045,0.038,0.017,,,,0.000,0.000,0.000,0.000,-21.798,-22.685,-23.091,-23.336,,,,-24.848,-24.843,-26.241,-28.219,46.98,10.901,0.076
PGC004553,J011539.93-611851.9,PGC004553,18.9163674,-61.3144284,PTS,,Polar_Tilted Tidal Structures,,S,,,,,4553,18.9162090,-61.3143333,Sab,,,ESO 113- G 031,0.028993,11.819,11.123,10.81,,18.9161700,-61.3143700,,,,,,,,,29.313,29.024,28.329,27.600,29.516,28.921,14.424,0.017,14.542,0.7256,0.0065,14.423,1.9201,13.6730,0.0090,13.7380,0.8334,0.0190,13.6680,1.9201,13.322,0.011,13.377,0.9019,0.0184,13.324,1.9201,13.051,0.015,13.113,0.8658,0.1351,17.335,1.9201,137.29,0.7910,0.5244,14.497,13.739,13.389,13.120,11.134,0.023,11.07,0.02,8.363,0.024,6.291,0.056,0.085,0.056,0.041,0.031,0.019,0.012,0.008,,,0.023834,0.026000,0.024243,0.028993,REDSHIFT_NED,124.46,0.603,131.78,0.053,0.030,0.023,0.012,-0.021,-0.023,-0.051,0.000,0.000,0.000,0.000,-21.195,-21.947,-22.286,-22.529,-23.778,-24.465,-24.746,-24.465,-24.529,-27.236,-29.308,30.15,10.724,0.475
PGC004582,J011608.54+200143.8,PGC004582,19.0355678,20.0288265,PTS,,Polar_Tilted Tidal Structures,,S,,,,,4582,19.0355835,20.0288333,Sbc,0.4797,0.061774,CGCG 459-020,0.061776,12.945,12.185,11.887,788417,19.0355667,20.0288154,15.384,0.003,14.692,0.003,14.153,0.003,0.7191,SB26,28.988,28.264,,27.290,28.885,28.373,15.335,0.021,15.391,0.3360,0.0184,15.315,0.9729,14.6360,0.0220,14.6770,0.3849,0.0235,14.6120,0.9729,,,,,,,,14.106,0.031,14.127,0.4565,0.1063,14.091,0.9729,48.98,0.3962,0.3287,15.370,14.673,,14.136,12.132,0.024,12.068,0.023,8.747,0.028,7.005,0.085,0.172,0.113,0.082,0.062,0.038,0.023,0.016,,,0.044868,,0.040993,0.061776,REDSHIFT_NED,254.97,1.236,287.45,0.098,0.047,,0.004,-0.033,-0.016,-0.118,0.000,0.000,0.000,0.000,-22.172,-22.776,,-23.232,-24.353,-25.115,-25.304,-25.161,-25.225,-28.546,-30.288,28.54,11.003,0.834
PGC583796,J011644.13-404001.2,PGC583796,19.1838743,-40.6670029,PR,,Face-on Polar_Tilted Rings,,S,,,,,583796,19.1837910,-40.6670833,,0.3388,0.066008,,,,,,1214189,19.1838687,-40.6670097,17.389,0.011,16.502,0.013,15.868,0.020,0.4055,SB26,29.389,28.908,27.986,27.454,29.468,28.745,17.186,0.033,17.307,0.2241,0.0148,17.192,0.5886,16.4100,0.0290,16.4720,0.2484,0.0177,16.4070,0.5886,16.072,0.041,16.118,0.2814,0.0370,16.074,0.5886,15.825,0.034,15.837,0.2909,0.0670,15.808,0.5886,115.03,0.2355,0.1595,17.231,16.418,16.065,15.784,13.108,0.029,12.769,0.031,8.915,0.038,6.696,0.123,0.060,0.039,0.028,0.021,0.013,0.008,0.006,,,0.076087,0.085311,0.077816,0.066008,REDSHIFT_LEDA,271.07,1.314,308.04,0.144,0.058,0.030,0.014,,,,0.000,0.000,0.000,0.000,-20.340,-21.068,-21.383,-21.641,,,,-24.335,-24.674,-28.528,-30.747,19.58,10.579,1.002
PGC004652,J011742.27+195745.1,PGC004652,19.4261050,19.9625223,PR,PDL,Polar_Tilted Rings,Polar_Tilted Dust Lanes,E,,,,,4652,19.4260005,19.9625833,E,0.7586,0.043033,CGCG 459-022,0.043033,11.896,11.146,10.819,1388716,19.4261151,19.9625102,14.729,0.004,13.790,0.003,13.069,0.004,1.5748,SB26,28.894,28.172,,27.192,28.794,28.266,14.590,0.040,14.726,0.6780,0.0611,14.587,1.9201,13.6580,0.0300,13.7230,0.8723,0.0618,13.6410,1.9201,,,,,,,,12.951,0.039,12.968,1.0473,0.1554,12.926,1.9201,35.07,0.7890,0.6809,14.680,13.736,,13.009,11.294,0.023,11.349,0.021,9.984,0.052,8.173,0.218,0.196,0.129,0.093,0.070,0.043,0.027,0.018,,,0.047249,,0.039249,0.043033,REDSHIFT_NED,181.63,0.881,197.60,0.092,0.042,,0.017,-0.026,-0.022,-0.075,0.000,0.000,0.000,0.000,-22.041,-22.927,,-23.598,-24.600,-25.338,-25.603,-25.185,-25.130,-26.495,-28.306,46.11,11.053,0.108
PGC1104040,J011747.48-020036.0,PGC1104040,19.4478263,-2.0100110,PR,PTS,Polar_Tilted Rings,Polar_Tilted Tidal Structures,E,,,,,1104040,19.4478120,-2.0099722,,0.3388,0.063293,,,,,,857056,19.4478328,-2.0100121,16.820,0.010,15.935,0.011,15.272,0.014,0.5757,SB26,29.350,28.883,28.345,27.871,29.442,29.103,16.733,0.034,16.844,0.2370,0.0109,16.714,0.6625,15.8660,0.0250,15.9110,0.3045,0.0118,15.8330,0.6625,15.471,0.027,15.506,0.3634,0.0275,15.450,0.6625,15.212,0.034,15.235,0.3558,0.0402,15.185,0.6625,128.56,0.2694,0.2086,16.792,15.906,15.512,15.247,13.079,0.025,13.034,0.03,11.46,0.241,8.906,0.53,0.161,0.106,0.077,0.058,0.035,0.022,0.015,,,0.067090,0.068714,0.067662,0.063293,REDSHIFT_LEDA,260.76,1.264,294.82,0.145,0.059,0.037,0.016,,,,0.000,0.000,0.000,0.000,-20.810,-21.602,-21.956,-22.187,,,,-24.269,-24.314,-25.888,-28.442,23.09,10.652,0.158
PGC173728,J011821.53-025856.7,PGC173728,19.5896959,-2.9824082,PH,,Polar_Tilted Halos,,S,,,,,173728,19.5890130,-2.9822299,,0.3365,0.026636,IRAS 01158-0314,,,,,965234,19.5896959,-2.9824082,15.949,0.009,15.330,0.008,14.856,0.009,0.9688,SB26,29.078,28.698,28.109,27.572,29.225,28.833,15.546,0.013,15.569,0.6006,0.0159,15.532,0.8903,14.9070,0.0170,14.9400,0.4310,0.0205,14.9000,0.8903,14.654,0.020,14.680,0.4447,0.0329,14.649,0.8903,14.426,0.025,14.452,0.4597,0.0624,14.421,0.8903,22.90,0.3601,0.3195,15.546,14.946,14.689,14.466,12.507,0.024,12.345,0.025,8.45,0.024,6.408,0.064,0.170,0.112,0.081,0.061,0.037,0.023,0.016,0.026268,,0.028133,0.022603,0.024735,0.026268,SDSS_SPEC_REDSHIFT,113.14,0.549,119.16,0.031,0.027,0.004,0.006,,,,0.000,0.000,0.000,0.000,-20.013,-20.580,-20.786,-20.996,,,,-22.874,-23.036,-26.931,-28.973,14.20,10.055,0.352
PGC1218402,J011837.90+021029.2,PGC1218402,19.6579282,2.1747662,PDL,PTS,Polar_Tilted Dust Lanes,Polar_Tilted Tidal Structures,S0-a,,,,,1218402,19.6579170,2.1747778,,0.7762,0.045255,,,,,,260984,19.6579459,2.1747650,15.855,0.007,14.955,0.008,14.292,0.010,1.0708,SB26,29.281,28.919,28.202,27.702,29.439,28.955,15.752,0.032,15.882,0.5084,0.0361,15.688,1.4716,14.8810,0.0200,14.9310,0.6697,0.0345,14.8220,1.4716,14.493,0.025,14.519,0.7400,0.0352,14.447,1.4716,14.200,0.034,14.237,0.7559,0.0704,14.179,1.4716,46.26,0.5948,0.3067,15.802,14.909,14.517,14.248,12.393,0.023,12.389,0.024,9.941,0.054,8.151,0.246,0.103,0.068,0.049,0.037,0.023,0.014,0.010,,,0.063339,0.061677,0.063123,0.045255,REDSHIFT_LEDA,190.50,0.924,208.13,0.099,0.044,0.037,0.017,,,,0.000,0.000,0.000,0.000,-20.912,-21.773,-22.159,-22.409,,,,-24.199,-24.203,-26.651,-28.441,37.13,10.638,0.157
UGC00838,J011845.86+145935.7,UGC00838,19.6910737,14.9932397,PTS,,Polar_Tilted Tidal Structures,,S,,,,,4705,19.6910115,14.9932066,SABb,0.6592,0.022946,UGC 00838,0.022949,11.932,11.287,10.941,15827,19.6911075,14.9932033,14.135,0.003,13.565,0.004,13.127,0.005,1.1678,SB26,29.068,28.268,,27.211,28.914,28.323,14.012,0.009,14.031,0.6878,0.0162,13.995,1.6563,13.4590,0.0090,13.4730,0.7044,0.0776,13.4460,1.6563,,,,,,,,13.040,0.019,13.055,0.7298,0.1752,13.036,1.6563,106.76,0.6694,0.4802,14.025,13.475,,13.063,11.634,0.023,11.58,0.022,7.858,0.018,5.702,0.04,0.170,0.112,0.081,0.061,0.037,0.023,0.016,0.022923,0.022923,0.016076,,0.014662,0.022923,SDSS_SPEC_REDSHIFT,99.13,0.481,103.73,0.021,0.024,,0.005,-0.018,-0.024,-0.035,0.000,0.000,0.000,0.000,-21.240,-21.743,,-22.091,-23.167,-23.792,-24.120,-23.446,-23.500,-27.222,-29.378,20.33,10.320,0.500
